,County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant
3394,Kittitas,19401.0,Ellensburg School District,5097.0,K-12 Ellensburg Learning Center,A,12th Grade,15,8,0,7,0,0,0,4,0,1,10,1,0,0,0,11,1,0,4,1,1,14,15,15,15,4,14
3429,Grays Harbor,14068.0,Elma School District,1629.0,East Grays Harbor High School,A,12th Grade,13,4,0,9,0,0,0,1,0,0,12,0,0,0,0,7,0,0,5,2,1,13,13,13,13,6,13
3430,Grays Harbor,14068.0,Elma School District,5416.0,East Grays Harbor High School,R,12th Grade,20,10,0,10,0,0,0,3,0,1,16,0,0,0,2,17,0,0,4,1,1,20,20,20,18,3,20
3443,Grays Harbor,14068.0,Elma School District,2137.0,Elma High School,P,12th Grade,97,46,0,51,1,0,0,14,0,10,72,2,0,5,1,72,1,0,6,8,20,95,97,92,96,25,96
3463,Chelan,4127.0,Entiat School District,3317.0,Entiat Middle and High School,P,12th Grade,26,9,0,17,0,2,0,8,1,2,13,3,0,0,0,17,0,0,1,0,4,23,26,26,26,9,26
3501,King,17216.0,Enumclaw School District,3330.0,Enumclaw Sr High School,P,12th Grade,344,165,0,179,2,1,2,49,0,16,274,7,0,0,6,88,1,1,17,16,47,337,344,344,338,256,343
3513,King,17216.0,Enumclaw School District,1523.0,Special Ed School,S,12th Grade,4,3,0,1,0,0,0,1,0,0,3,0,0,0,1,2,0,0,1,0,4,4,2,4,3,2,4
3555,Grant,13165.0,Ephrata School District,2920.0,Ephrata High School,P,12th Grade,198,95,0,103,0,1,0,63,0,1,133,14,0,10,13,109,7,0,14,10,14,184,197,188,185,89,191
3578,Grant,13165.0,Ephrata School District,5497.0,Sage Hills Open Doors Youth Re-Engagement Program,R,12th Grade,12,4,0,8,1,0,0,2,0,0,9,0,0,0,1,11,0,0,9,0,1,12,12,12,11,1,12
3582,Spokane,32801.0,ESD 101 acting as a school district,3352.0,Martin Hall Detention Ctr,J,12th Grade,3,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,3,3
